case_id,shape,image_mean,image_std,mask_voxels,mask_ratio,mask_bbox
001,"[128, 128, 64]",-0.0,1.0,12976,0.012375,"[43, 45, 21, 79, 74, 56]"
002,"[128, 128, 64]",0.0,1.0,2152,0.002052,"[54, 42, 10, 79, 55, 37]"
003,"[128, 128, 64]",0.0,1.0,1691,0.001613,"[53, 51, 37, 85, 67, 49]"
004,"[128, 128, 64]",-0.0,1.0,1188,0.001133,"[49, 46, 26, 63, 62, 37]"
005,"[128, 128, 64]",-0.0,1.0,530,0.000505,"[52, 48, 39, 69, 60, 45]"
006,"[128, 128, 64]",0.0,1.0,672,0.000641,"[57, 49, 34, 76, 62, 41]"
007,"[128, 128, 64]",0.0,1.0,667,0.000636,"[67, 49, 21, 75, 62, 38]"
008,"[128, 128, 64]",-0.0,1.0,1388,0.001324,"[51, 42, 37, 77, 65, 49]"
009,"[128, 128, 64]",-0.0,1.0,1903,0.001815,"[55, 47, 48, 76, 68, 56]"
010,"[128, 128, 64]",0.0,1.0,3104,0.00296,"[42, 44, 18, 63, 65, 37]"
011,"[128, 128, 64]",0.0,1.0,862,0.000822,"[50, 43, 45, 72, 59, 51]"
012,"[128, 128, 64]",-0.0,1.0,868,0.000828,"[51, 45, 26, 71, 59, 41]"
013,"[128, 128, 64]",-0.0,1.0,5940,0.005665,"[52, 53, 22, 81, 78, 45]"
014,"[128, 128, 64]",-0.0,1.0,2572,0.002453,"[52, 51, 10, 76, 62, 41]"
015,"[128, 128, 64]",-0.0,1.0,3603,0.003436,"[43, 32, 37, 81, 61, 56]"
016,"[128, 128, 64]",-0.0,1.0,3624,0.003456,"[46, 45, 18, 75, 65, 41]"
017,"[128, 128, 64]",-0.0,1.0,4963,0.004733,"[46, 45, 10, 76, 71, 27]"
018,"[128, 128, 64]",-0.0,1.0,1294,0.001234,"[52, 48, 36, 79, 68, 44]"
019,"[128, 128, 64]",0.0,1.0,2268,0.002163,"[47, 46, 39, 77, 66, 51]"
020,"[128, 128, 64]",0.0,1.0,1448,0.001381,"[52, 42, 10, 64, 58, 37]"
021,"[128, 128, 64]",-0.0,1.0,1404,0.001339,"[64, 52, 18, 77, 71, 33]"
022,"[128, 128, 64]",-0.0,1.0,778,0.000742,"[63, 51, 15, 73, 63, 31]"
023,"[128, 128, 64]",0.0,1.0,1608,0.001534,"[53, 47, 14, 69, 61, 41]"
024,"[128, 128, 64]",-0.0,1.0,2565,0.002446,"[61, 44, 21, 85, 64, 35]"
025,"[128, 128, 64]",-0.0,1.0,396,0.000378,"[68, 51, 41, 79, 61, 47]"
026,"[128, 128, 64]",0.0,1.0,2908,0.002773,"[54, 39, 26, 74, 63, 45]"
027,"[128, 128, 64]",-0.0,1.0,1288,0.001228,"[62, 47, 14, 80, 59, 33]"
028,"[128, 128, 64]",-0.0,1.0,1656,0.001579,"[54, 49, 18, 72, 60, 37]"
029,"[128, 128, 64]",-0.0,1.0,1676,0.001598,"[53, 47, 41, 81, 72, 47]"
030,"[128, 128, 64]",0.0,1.0,1352,0.001289,"[63, 53, 22, 80, 70, 37]"
031,"[128, 128, 64]",0.0,1.0,702,0.000669,"[55, 51, 47, 72, 63, 52]"
032,"[128, 128, 64]",0.0,1.0,5491,0.005237,"[32, 50, 32, 74, 75, 56]"
033,"[128, 128, 64]",0.0,1.0,917,0.000875,"[58, 49, 21, 73, 61, 33]"
034,"[128, 128, 64]",0.0,1.0,944,0.0009,"[51, 41, 28, 74, 57, 38]"
035,"[128, 128, 64]",-0.0,1.0,1368,0.001305,"[53, 48, 14, 73, 59, 37]"
036,"[128, 128, 64]",0.0,1.0,16207,0.015456,"[43, 27, 22, 82, 69, 54]"
037,"[128, 128, 64]",0.0,1.0,110,0.000105,"[66, 53, 21, 69, 56, 31]"
038,"[128, 128, 64]",0.0,1.0,576,0.000549,"[68, 61, 34, 80, 72, 45]"
039,"[128, 128, 64]",-0.0,1.0,3100,0.002956,"[63, 53, 37, 87, 75, 53]"
040,"[128, 128, 64]",-0.0,1.0,857,0.000817,"[48, 53, 41, 65, 68, 49]"
041,"[128, 128, 64]",-0.0,1.0,5137,0.004899,"[42, 43, 32, 80, 71, 45]"
042,"[128, 128, 64]",-0.0,1.0,2714,0.002588,"[52, 49, 10, 76, 65, 27]"
043,"[128, 128, 64]",-0.0,1.0,10738,0.010241,"[49, 34, 12, 82, 68, 56]"
